Submitted by CCM,VID,Vessel Name,Flag,Registration Number,WIN,Previous Names,Reg Port,Owner Name,Owner Address,Master Name,Master Nationality,Previous Flags,IRCS,Communication Details,Built in Country,Built in Year,Vessel Type,Crew,Fishing Methods,Length,Length Type,Length Units,Moulded Depth,Moulded Depth Units,Beam,Beam Units,Tonnage,Tonnage Type,Engine Power,Power Units,Freezer Types,Freezing Capacity,Freezing Capacity Units,Number of Freezers,FishHold Capacity,FishHold Cap Units,Auth Type,Auth Number,Auth Area,Auth Species,Auth Period From,Auth Period To,Purse seine vessel authorised to tranship at sea,IMO-LR,Authorisation to tranship on the high seas,Under Charter,Charterer Name,Chartering CCM,Address of Charter,Charter Start Date,Charter End Date
Vanuatu,11166,ESSIEN NO.101,Vanuatu,2354,YJTZ2,LINA,Port Vila,"ESSIEN FISHERY CO., LTD","Law Partners House Lini Highway, P.O. Box 1019, Port Vila Vanuatu","JIN, YINGFU",China,INDONESIA,YJTZ2,"IMN:516775, CLS Triton Advanced, Serial #: TM0000111229, PHONE ;+886-7-8128198
FAX:+886-8128098",Japan,1982,Tuna longliner,31,Longlines (not specified),50.15,Overall,Meters,3.57,Meters,8.5,Meters,547,GRT,1100,PS,Other (Air (Coils) RC ),6,METRIC TONNES,4,193,MT,INTERNATIONAL AUTHORIZATION TO FISH CERTIFICATE,VAN 110-ATF-17,WCPFC,TUNA & TUNA LIKE SPECIES,05-Nov-17,04-Nov-20,NO,7815337,YES,NO,,,,,
Vanuatu,1311,KAI SHIN,Vanuatu,2510,YJWP6,KAISHIN MARU NO.18,Port Vila,"ESSIEN FISHERY CO., LTD","FIRST FLOOR LAW PARTNERS HOUSE, LINI HIGHWAY, P.O.BOX, PORT VILA, VANUATU","WU, CHUNG - PIN",Chinese Taipei,JAPAN,YJWP6,"IMN: 518548 CLS Triton Advanced, Serial #: TM0000119062",Japan,1990,Tuna longliner,30,Longlines (not specified),57.31,Overall,Meters,3.85,Meters,8.9,Meters,577,GRT,1000,PS,Other (Air (Coils) RC),8,MT/Day,4,511,CuM,INTERNATIONAL AUTHORIZATION TO FISH CERTIFICATE,VAN 8-ATF-19,WCPFC,TUNA & TUNA LIKE SPECIES,30-Apr-19,29-Apr-22,NOT APPLICABLE,9020883,YES,NO,,,,,
Panama,8946,YUNG DA FA 101,Panama,47100-15,HPQB,"YUNG DA FA 101, KIN PING HAI",Panama,ETERNAL ONE SHIPPING S.A.,"SALDUBA BLDG, TERCER PISO, CALLE 53 ESTE, URBANIZACIÃ“N 
MARBELLA, PANAMÃ, REPÃšBLICA DE PANAMÃ",Fan Jun Chang,China,KIRIBATI,HPQB,INMARSAT C: 424698897,Japan,1985,FISH CARRIER,,,82.82,Overall,Meters,8.5,Meters,14.5,Meters,"2,436.00",GRT,1912,KW,"freon, plate","3,454.67",CuM,6,3454,CuM,support fishing vessel,02-98-1083-121-235,WCPO,"TUNA, TUNA LIKE",24-Apr-15,22-Jul-20,Not specified,8508840,YES,NO,,,,,
Liberia,11805,BALTIC PROSPERITY,Liberia,2232-19-NYC,D5TC9,CHEMICAL AQUARIUS,Monrovia,ETERNITY SEAS S.A.,"5, Xenias str. & Ch. Trikoupi, Athens, Kifissia 14562 Greece
",Oleg Chygra,Russian Federation,HK,D5TC9,Sat C; VMS; LRIT,China,2012,Support Vessel,21,,142.5,Overall,Meters,12.6,Meters,23,Meters,"11,383.00",GT,5180,KW,,,,,,,Transshipment Support,011-FTL-19,"SPRFMO, IATTC, WCPFC",,10-Apr-19,10-Apr-20,Not specified,9576820,,NO,,,,,
Japan,11604,KAIEN,Japan,NS2-14926,JP-NS2-14926,NONE,Sasebo,ETERUNAWAKO  KABUSIKI  KAISYA,"NAGASAKI-KEN SASEBO-SI OGATA-CHO 586 BANCHI
","KUBOKAWA,DAICHI",Japan,NONE,NONE,NONE,Japan,1990,Support Vessel,,With purse lines (purse seine),18.27,Registered,Meters,1.97,Meters,4.1,Meters,17,GRT,846,KW,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1778,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8346125,NO,NO,,,,,
Japan,11570,NO.1 KYORYOMARU,Japan,NS2-13705,JP-NS2-13705,NONE,Sasebo,ETERUNAWAKO  KABUSIKI  KAISYA,NAGASAKI-KEN  SASEBO-SI OGATA-CHO 586  BANCHI,"NAGATANI,HIROTAKA",Japan,NONE,NONE,NONE,Japan,1987,Support Vessel,,With purse lines (purse seine),18.62,Registered,Meters,1.97,Meters,3.69,Meters,17,GRT,610,KW,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1148,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8346096,NO,NO,,,,,
Japan,11603,NO.101 TENKU,Japan,NS2-10806,JP-NS2-10806,NONE,Sasebo,ETERUNAWAKO  KABUSIKI  KAISYA,NAGASAKI-KEN SASEBO-SI OGATA-CHO 586 BANCHI,"MIZOGUCHI,AKIHIKO",Japan,NONE,NONE,090-3023-2516;DOCOMO Mobile,Japan,2014,Support Vessel,,With purse lines (purse seine),24.51,Registered,Meters,1.54,Meters,4.56,Meters,19,GRT,809,KW,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1778,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8346113,NO,NO,,,,,
Japan,11569,NO.50 HISYO,Japan,NS2-10782,JP-NS2-10782,NONE,Sasebo,ETERUNAWAKO  KABUSIKI  KAISYA,NAGASAKI-KEN  SASEBO-SI OGATA-CHO 586  BANCHI,"MIZOGUCHI,ETSUO",Japan,NONE,NONE,090-3022-3229;DOCOMO Mobile,Japan,2011,Support Vessel,,With purse lines (purse seine),24.42,Registered,Meters,1.59,Meters,4.38,Meters,19,GRT,736,KW,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1148,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8346084,NO,NO,,,,,
Japan,11566,NO.55 RYUHO,Japan,NS2-23413,JP-NS2-23413,NONE,Sasebo,ETERUNAWAKO  KABUSIKI  KAISYA,NAGASAKI-KEN  SASEBO-SI  OGATA-CHO 586  BANCHI,"NAGATANI,YUTAKA",Japan,NONE,NONE,NONE,Japan,2009,FISH CARRIER,,With purse lines (purse seine),21.9,Registered,Meters,1.67,Meters,5.2,Meters,19,GRT,809,KW,,,,,89,CuM,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1148,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8346058,NO,NO,,,,,
Japan,11568,NO.60 HIEN,Japan,NONE,JP-NS2-23405,NONE,Sasebo,ETERUNAWAKO  KABUSIKI  KAISYA,NAGASAKI-KEN  SASEBO-SI OGATA-CHO 586  BANCHI,"ASADA,KAZUMA",Japan,NONE,NS2-23405,NONE,Japan,2009,FISH CARRIER,,With purse lines (purse seine),21.9,Registered,Meters,1.67,Meters,5.2,Meters,19,GRT,809,KW,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1148,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8346072,NO,NO,,,,,
Japan,11567,NO.90ã€€HISYO,Japan,NS2-23452,JP-NS2-23452,NONE,Sasebo,ETERUNAWAKO  KABUSIKI  KAISYA,NAGASAKI-KEN  SASEBO-SI OGATA-CHO 586  BANCHI,"MIZOGUCHI,MINATO",Japan,NONE,NONE,NONE,Japan,2013,FISH CARRIER,,With purse lines (purse seine),22.95,Registered,Meters,1.46,Meters,4.93,Meters,19,GRT,809,KW,,,,,93,CuM,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization of P1148,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8346060,NO,NO,,,,,
Japan,11595,NO.93ã€€TENKU,Japan,NS2-23487,JP-NS2-23487,NONE,Sasebo,ETERUNAWAKO  KABUSIKI  KAISYA,NAGASAKI-KEN  SASEBO-SI OGATA-CHO 586  BANCHI,"KUROKAWA,AYUMU",Japan,NONE,NONE,NONE,Japan,2017,FISH CARRIER,,With purse lines (purse seine),22.7,Registered,Meters,1.5,Meters,4.96,Meters,19,GRT,809,KW,,,,,91,CuM,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1778,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8346101,NO,NO,,,,,
Japan,1935,HIEN NO.1,Japan,NS2-23078,JP-NS2-23078,NONE KNOWN,Sasebo,ETERUNAWAKO KABUSHIKIGAISHA,"586,OGATA-CHO,SASEBO-SHI,NAGASAKI,JAPAN","Mizoguchi,Akihiko",Japan,NONE,NONE,NONE,Japan,1996,Support Vessel,13,,19.53,Registered,Meters,1.72,Meters,4.18,Meters,18,GRT,180,PS,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1778,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8346010,NO,NO,,,,,
Japan,1936,KAIYO NO.18,Japan,NS2-10708,JP-NS2-10708,NONE,Sasebo,ETERUNAWAKO KABUSHIKIGAISHA,"586,OGATA-CHO,SASEBO-SHI,NAGASAKI,JAPAN","Kurokawa,Manabu",Japan,NONE,NONE,NONE,Japan,1988,Support Vessel,5,,19.95,Registered,Meters,1.73,Meters,4.08,Meters,19,GRT,736,KW,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",P1148,No specific areas,No specific species,01-Aug-17,31-Jul-22,Not specified,8346022,NO,NO,,,,,
Japan,1934,KYORYO MARU NO.53,Japan,NS2-10705,JP-NS2-10705,NONE KNOWN,Sasebo,ETERUNAWAKO KABUSHIKIGAISHA,"586,OGATA-CHO,SASEBO-SHI,NAGASAKI,JAPAN","Taniwaki,Naoki",Japan,NONE,NONE,"Channels: N-STAR
Numbers: 090-3022-5921",Japan,2001,Purse seiner,18,,29,Registered,Meters,2.6,Meters,7.25,Meters,80,GRT,500,HP,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",P1148,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,2762640,NO,NO,,,,,
Japan,10521,ICHIMARUHACHI KAIO,Japan,NS2-10792,JP-NS2-10792,NONE KNOWN,Sasebo,ETERUNAWAKO KABUSHIKIGAISHA ,"586,OGATA-CHO,SASEBP-SHI,NAGASAKI,JAPAN","Utino, Takahiro",Japan,NONE,NONE,NONE,Japan,1999,Purse seiner,19,,29,Registered,Meters,2.6,Meters,7.5,Meters,80,GT,500,PS,,,,,,,"Ministry of Agriculture, Forestry and Fisheries",P1778,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,2643533,NO,NO,,,,,
Japan,10722,SIRYU NO.52,Japan,NS2-23377,JP-NS2-23377,NONE,Sasebo,ETERUNAWAKO KABUSHIKIGAISHA ,"586,OGATA-CHO,SASEBO-SHI,NAGASAKI,JAPAN","Nagatani, Sinya",Japan,NONE,NONE,NONE,Japan,2007,FISH CARRIER,6,,21.65,Registered,Meters,1.91,Meters,4.51,Meters,19,GRT,809,KW,,,,,78,CuM,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1778,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8346046,NO,NO,,,,,
Japan,10526,NO.109ã€€YOKURYU,Japan,NS2-23441,JP-NS2-23441,NONE KNOWN,Sasebo,ETERUNAWAKO KABUSHIKIGAISHA   ,"586,OGATA-CHO,SASEBP-SHI,NAGASAKI,JAPAN","Kubokawa, Tubasa",Japan,NONE,NONE,NONE,Japan,2012,FISH CARRIER,13,,22.45,Registered,Meters,1.72,Meters,4.73,Meters,19,GRT,809,KW,,,,,98,CuM,"Ministry of Agriculture, Forestry and Fisheries",Operataing under the Authorization ofã€€P1778,No specific areas,No specific species,01-Aug-17,31-Jul-22,NO,8346034,NO,NO,,,,,
French Polynesia,5205,KHAYA STAR,French Polynesia,PY 1516,PY 1516,KAHAI'A 3,Papeete,EURL VANA VANA,Port de Peche Fare Ute - BP 6331 Faa'a Tahiti,"TUHIO-LENOIR, ArsÃ¨ne",France,FR,FKDA,422820410  ; 881622423946,France,1992,Tuna longliner,5,Drifting longlines,16.08,Overall,Meters,2.69,Meters,5.4,Meters,45.16,GRT,350,HP,Ice,0,not applicable,0,25,CuM,not applicable,not applicable,not applicable,not applicable,,,not applicable,,NO,NO,,,,,
Panama,9208,EURO STAR,Panama,33110-07-B,3EJQ3,NONE,Panama,"EURO STAR SHIPPING, INC","19TH FLOOR, BANCO GENERAL TOWER, AQUILINO DE LA GUARDIA STREET MARBELLA, PANAMA CITY, REPUBLIC OF PANAMA
","GO, MIN-KWON",Korea (Republic of),Singapore,3EJQ3,"INMARSAT FB
773 155 616
",Japan,1984,FISH CARRIER,19,,100.98,Overall,Meters,16.4,Meters,10,Meters,"4,364.00",GRT,4847,KW,,,,,4400,CuM,SUPPORT FISHING VESSEL,02-98-1182-118-732,WCPO,"TUNA, TUNA LIKE",24-May-14,10-Jul-20,Not specified,8319055,YES,NO,,,,,
Philippines,11357,ANIKA-1,Philippines,06-0000026,DUG-6304,EBISU MARU NO. 27; SAL VIENTE CINCO,General Santos,EUTHYNNUS VENTURE CORPORATION,"PUROK BAGONG SILANG, MAKAR, LABANGAL, GENERAL SANTOS CITY",ABRAHAM B. CORNELIO,Philippines,NONE KNOWN,DUG-6304,"VMS-THORIUM
SSB
VHF",Japan,1977,FISH CARRIER,7,,39.95,Registered,Meters,3.6,Meters,6.3,Meters,223.41,GT,447,KW,ICE,NONE,NONE,NONE,180,MT,INTERNATIONAL FISHING PERMIT,HSP1-MC-EVC-2018-0549,WCPO HSP NO. 1,TUNA & TUNA LIKE,06-Mar-18,05-Mar-21,NOT APPLICABLE,7706108,,NO,,,,,
Philippines,11437,AYANNA ALEXIS,Philippines,12-0002479,DUG-6007,SHOTOKU MARU NO. 21; SAL CINCO,General Santos,EUTHYNNUS VENTURE CORPORATION,"BAGONG SILANG, MAKAR, LABANGAL, GENERAL SANTOS CITY",JULIE H. GUMBAN,Philippines,JAPAN,DUG-6007,"VMS TST-100/Ser. # A9500003
VHF: ICOM IC-2300/SN: 10072450",Japan,1980,Purse seiner,26,With purse lines (purse seine),31.04,Registered,Meters,2.78,Meters,7,Meters,132.49,GT,596,KW,,NONE,NONE,NONE,,,INTERNATIONAL FISHING PERMIT,HSP1-MPRS-EVC-2018-0616,WCPO HSP NO. 1,TUNA & TUNA LIKE SPECIES,13-Aug-18,12-Aug-21,NOT APPLICABLE,8029143,,NO,,,,,
Philippines,11629,CAROLYN-A,Philippines,12-0003149,DUG-9013,SHIN DAITU MARU,General Santos,EUTHYNNUS VENTURE CORPORATION,"PUROK BAGONG SILANG, MAKAR, LABANGAL, GENERAL SANTOS CITY, PHILIPPINES",DANILL NODOS,Philippines,JAPAN,DUG-9013,"VMS: CLS MARGE V3 (ID No. 514763)
SSB: Icom IC-M710
VHF: Icom IC-M200",Japan,1979,FISH CARRIER,8,,37.49,Registered,Meters,3.6,Meters,6.6,Meters,169,GT,447,KW,,0,,0,250,MT,INTERNATIONAL FISHING PERMIT,HSP1-MC-EVC-2017-0538,WCPO HSP NO. 1,TUNA & TUNA-LIKE,29-Sep-17,28-Sep-20,NOT APPLICABLE,7929841,,NO,,,,,
Philippines,10804,HANADOREA TEN,Philippines,06-0000131,DUG-6263,NONE,General Santos,EUTHYNNUS VENTURE CORPORATION,"BO. HALL MAKAR, LABANGAL, GENERAL SANTOS CITY, PHILIPPINES",WILFREDO BRITO,Philippines,NONE,DUG-6263,"VHF ICOM IC-M100/SN: 65420
VMS: CLS MARGEV2/SN: LX1200035946",Philippines,1993,Support Vessel,3,,17.98,Registered,Meters,1.91,Meters,4.11,Meters,42.02,GT,167,KW,,NONE ,NONE,NONE,,,DISTANT WATER FISHING PERMIT,HSP1-GL-EVC-2019-0740,WCPO HSP NO. 1,NA,21-Oct-19,30-Sep-20,NOT APPLICABLE,8559368,NO,NO,,,,,
Philippines,11142,ISHI,Philippines,12-0002340,DUG-6329,KIKU MARU; SAL DIECISIETE,General Santos,EUTHYNNUS VENTURE CORPORATION,"PUROK BAGING SILANG, MAKAR, LABANGAL, GENERAL SANTOS CITY, PHILIPPINES",MARIO HEMELGO,Philippines,N/A,DUG-6329,VMS: CLS LEO Serial Number 14.005517,Japan,1975,FISH CARRIER,7,,39.56,Registered,Meters,3.6,Meters,6.3,Meters,214.22,GT,447,KW,ICE,0,NA,0,180,MT,INTERNATIONAL FISHING PERMIT,HSP1-MC-EVC-2017-0516,WCPO HSP NO. 1,Tuna and tuna-like species,22-Sep-17,21-Sep-20,NOT APPLICABLE,7513707,,NO,,,,,
Philippines,11396,LB FRANCIS 5,Philippines,12-0002784,DUM-3301,NONE,General Santos,EUTHYNNUS VENTURE CORPORATION,"BO. HALL MAKAR, LABANGAL, GENERAL SANTOS CITY, PHILIPPINES",BENJAMIN RAMADA,Philippines,NONE,DUM-3301,VMS: Triton Advance Serial No. TM0000088773,Philippines,2015,Support Vessel,3,,15.5,Registered,Meters,2.14,Meters,4.27,Meters,34.15,GT,268,KW,,NONE,NONE,NONE,,,DISTANT WATER FISHING PERMIT,HSP1-ML-EVC-2019-0741,WCPO HSP No. 1,NA,14-Feb-19,30-Sep-20,NOT APPLICABLE,8556926,NO,NO,,,,,
Philippines,11473,LB FRANCIS-6,Philippines,12-0002785,DUM-3302,NONE,General Santos,EUTHYNNUS VENTURE CORPORATION,"BO. HALL, MAKAR, LABANGAL, GENERAL SANTOS CITY, PHILILPPINES",MELITO MAESTRADO,Philippines,NONE,DUM-3302,"VMS-CLS MARGE V2/SN:  2617730-0040
ICOM M710/SN:  4112467",Philippines,2015,Support Vessel,4,,15.5,Registered,Meters,2.14,Meters,4.27,Meters,34.15,GT,268,KW,,NONE,NONE,NONE,,,DISTANT WATER FISHING PERMIT,HSP1-ML-EVC-2019-0768,WCPO HSP NO. 1,NA,21-Sep-19,20-Sep-20,NOT APPLICABLE,8556938,NO,NO,,,,,
Philippines,11919,LB SKY-7,Philippines,12-0003322,DUM-3686,NONE,General Santos,EUTHYNNUS VENTURE CORPORATION,"Purok Bagong Silang, Makar, Labangal, General Santos City, Philippines",JEORLY REGACHO,Philippines,NONE,DUM-3686,VMS: Triton Advance Serial No. TM0000117653,Philippines,2018,Support Vessel,4,,15.53,Registered,Meters,1.81,Meters,3.9,Meters,31,GT,290,KW,,0,NA,0,,,Distant Water Fishing Permit,HSP1-ML-EVC-2020-0789,WCPO HSP No. 1,NA,12-Dec-19,30-Sep-20,NOT APPLICABLE,8556940,NO,NO,,,,,
Philippines,11918,LB SKY-8,Philippines,12-0003354,DUM-3734,NONE,General Santos,EUTHYNNUS VENTURE CORPORATION,"Purok Bagong Silang, Makar, Labangal, General Santos City, Philippines",DODITO BARTONICO,Philippines,NONE,DUM-3734,VMS: Triton Advance TM0000117421,Philippines,2018,Support Vessel,4,,15.53,Registered,Meters,1.81,Meters,3.9,Meters,32,GT,261,KW,,0,NA,0,,,Distant Water Fishing Permit,HSP1-ML-EVC-2020-0790,WCPO HSP No. 1,NA,12-Dec-19,30-Sep-20,NOT APPLICABLE,8556952,NO,NO,,,,,
Philippines,11630,MA. TERESA,Philippines,06-0000030,DUG-9053,NONE,General Santos,EUTHYNNUS VENTURE CORPORATION,"PUROK BAGONG SILANG, MAKAR, LABANGAL, GENERAL SANTOS CITY, PHILIPPINES",BERNARDINO ENOJALES,Philippines,JAPAN,DUG-9053,"VMS: CLS MARGE V3 (ID No. 514836)
SSB: Icom IC-M170
VHF: Icom IC-M200",Japan,1972,FISH CARRIER,8,,41.6,Registered,Meters,4.65,Meters,7.6,Meters,328,GT,745,KW,,0,NA,0,200,MT,INTERNATIONAL FISHING PERMIT,HSP1-MC-EVC-2017-0537,WCPO HSP No. 1,TUNA & TUNA-LIKE,29-Sep-17,28-Sep-20,NOT APPLICABLE,8924680,,NO,,,,,
Philippines,10838,MARIA LINA,Philippines,06-0000032,DUG-2179,N/A,General Santos,EUTHYNNUS VENTURE CORPORATION,"PUROK BAGONG SILANG, MAKAR, LABANGAL, GENERAL SANTOS CITY, PHILIPPINES",ZALDY RODRIGUEZ,Philippines,N/A,DUG-2179,VMS: Leo Serial No. 15.007753,Japan,1977,FISH CARRIER,7,,39,Registered,Meters,3.2,Meters,6.3,Meters,212.01,GT,447,KW,ICE,NONE,NONE,NONE,180,MT,DISTANT WATER FISHING PERMIT,HSP1-MC-EVC-2019-0742,WCPO HSP NO. 1,TUNA & TUNA LIKE,29-Oct-19,30-Sep-20,NOT APPLICABLE,7709655,,NO,,,,,
Philippines,11215,RICHARD JOHN,Philippines,06-0000025,DUG-9141,SAL VI,General Santos,EUTHYNNUS VENTURE CORPORATION,"PUROK BAGONG SILANG, MAKAR, LABANGAL, GENERAL SANTOS CITY",ROVER SENILLO,Philippines,NONE,DUG-9141,VMS: Thorium Serial No. 14.0056601,Japan,1972,FISH CARRIER,7,,37.5,Registered,Meters,3.6,Meters,5.9,Meters,208.2,GT,447,KW,ICE,NONE,NONE,NONE,200,MT,INTERNATIONAL FISHING PERMIT,HSP1-MC-EVC-2017-0531,WCPO HSP NO. 1,TUNA & TUNA LIKE,14-Nov-17,13-Nov-20,NOT APPLICABLE,7936985,,NO,,,,,
Philippines,11481,SAL SIETE,Philippines,06-0000105,DUG-6000,INE MARU NO. 18,General Santos,EUTHYNNUS VENTURE CORPORATION,"PUROK BAGONG SILANG, MAKAR, LABANGAL, GENERAL SANTOS CITY, PHILIPPINES",FRANCISCO JUGI,Philippines,JAPAN,DUG-6000,"VMS-CLS THORIUM/MTU ID #: 512083
SSB FURUNO FS-1550
VHF ICOM IC-M100",Japan,1980,Tuna purse seiner,25,Two boats operated purse seines,31.2,Registered,Meters,2.96,Meters,7.38,Meters,143.96,GT,749,KW,ICE,NONE,NONE,NONE,100,MT,DISTANT WATER FISHING PERMIT,HSP1-MPRS-EVC-2019-0759,WCPO HSP NO. 1,TUNA AND TUNA-LIKE SPECIES,21-Sep-19,30-Sep-20,NOT APPLICABLE,8002224,,NO,,,,,
Philippines,11783,ST. AGNES,Philippines,06-0000028,DUG-9061,NONE,General Santos,EUTHYNNUS VENTURE CORPORATION,"Sitio Cabu, Bawing, General Santos City, Philippines",ROVER SENILLO,Philippines,JAPAN,DUG-9061,"VMS: CLS Triton Serial No.TM0000093455
ICOM IC-M70 Serial No. 4116568
",Japan,1973,FISH CARRIER,7,,42.9,Registered,Meters,4.65,Meters,7.6,Meters,335,GT,745,KW,,None,NA,0,200,MT,DISTANT WATER FISHING PERMIT,HSP1-MC-EVC-2019-0743,WCPO HSP No. 1,TUNA AND TUNA-LIKE SPECIES,18-Jan-19,30-Sep-20,NOT APPLICABLE,7323126,,NO,,,,,
Panama,11301,HAI GONG YOU 306,Panama,46699-15,3EDS9,BRO ANTON,Panama,EVER ACCESS DEVELOPMENT LIMITED,"7TH FLOOR, BUILDING 19, BLOCK 18188, NANSIHUAN XILU, FENGTAI QU, 
BEIJING, 100160, CHINA",BEI ZHIGUO,China,SWEDEN,3EDS9,INMARSAT: 437017810,Spain,1999,BUNKER,,,134.55,Overall,Meters,12.4,Meters,23,Meters,"11,375.00",GRT,6480,KW,,,,,,,SUPPORT FISHING VESSEL,02-97-1076-101-678,WCPO,,26-May-15,26-May-20,Not specified,9150614,YES,NO,,,,,
Chinese Taipei,4025,TA CHING NO.666,Chinese Taipei,CT8-0062,BEBF,NONE,Kaohsiung,"EVER GLORY FISHERY CO., LTD.","Room A, 15F., No. 95, Mintzu 2nd Rd., Singsing District, Kaohsiung City 802, Taiwan (R. O. C.)","LIU, CHI TSAI",Chinese Taipei,NONE,BEBF,"Numbers: 886 7 2388299
Inmarsat C:441683611/441683610 (Spare)
satellite tel:764137293
",Chinese Taipei,1991,Tuna purse seiner,30,With purse lines (purse seine),66.23,Overall,Meters,4.55,Meters,11.8,Meters,"1,052.00",GT,3000,HP,BRINE,150,MT/DAY,4,1366,CuM,JIAN WEI 108- ,104,Pacific Ocean,Tuna and Tuna-like,03-Sep-19,02-Sep-23,NO,8628559,NO,NO,,,,,
Liberia,11671,EVEREST BAY,Liberia,694-07-NYC,A8KZ3,NONE,Monrovia,EVEREST BAY SHIPPING COMPANY B.V. ,"Leonard Springerlaan 17
Groningen 9727 KB, Netherlands","Patino, Bienvenido",Philippines,PANAMA,A8KZ3,SAT-C; AIS; VMS,Japan,1989,FISH CARRIER,18,,141,Overall,Meters,13,Meters,20.6,Meters,"8,739.00",GT,8739,KW,Air blast,,,19,449201,CuF,Transshipment,016-FTL-19,SPRFMO; IATTC; ICCAT; WCPFC; NEAFC,"Tuna-like species, squid",28-Apr-19,28-Apr-20,NO,8911073,YES,NO,,,,,
Chinese Taipei,4036,YONG MAN SHUN,Chinese Taipei,CT7-0032,BZCO,CHANG SHUN,Kaohsiung,"EXHIBITION AQUATIC PRODUCTS CO., LTD.","1F., No.1, Ln. 72, Baoyang E. St., Sanmin Dist., Kaohsiung City 80770, Taiwan (R.O.C.)
","LEE, CHIEN-MING ",Chinese Taipei,NONE,BZCO,"Satellite telephone number: 002-872-763614289
",Chinese Taipei,1972,FISH CARRIER,50,,73.3,Overall,Meters,5.6,Meters,10.8,Meters,998,GT,1800,HP,Other(Frozen),300,HP,3,1503,CuM,YU YUN 106-,35,Pacific Ocean,All species,25-Aug-17,24-Aug-21,NOT APPLICABLE,7302031,YES,NO,,,,,
Panama,9427,FONG KUO NO 818,Panama,33813-08-B,3EPS8,DALNEGORSK,Panama,F.K. OVERSEAS CORP.,"LOCAL 423, PISO 3, NO. 3, YU KANG EAST CALLE 2, CIUDAD
KAOHSIUNG, TAIWAN",HTAY MAUNG ,Myanmar,PANAMA,3EPS8,"INMARSAT C
",Japan,1990,FISH CARRIER,18,,106.38,BetweenPP,Meters,10.1,Meters,17.8,Meters,"5,286.00",GRT,6800,HP,AIR BLAST,,,3,7694,CuM,SUPPORT FISHING VESSEL, 02-98-629-030-815,WCPO,TUNA AND TUNA LIKE,26-Mar-15,02-Dec-20,Not specified,8904070,YES,NO,,,,,
Panama,9040,FONG KUO NO 819,Panama,42061-10-B,3FCY3,SEED LEAF,Panama,F.K. OVERSEAS CORP.,"LOCAL 423, PISO 3, NO. 3, YU KANG EAST CALLE 2, CIUDAD
KAOHSIUNG, TAIWAN
",YE HLA,Myanmar,MH,3FCY3,INMARSAT C,Japan,1990,FISH CARRIER,20,,106.38,Overall,Meters,10.1,Meters,17.8,Meters,"5,131.00",GRT,5072,KW,PLATE,7200,M,3,7224,CuM,SUPPORT FISHING VESSEL,02-98-679-054-822,WCPO,TUNA AND TUNA LIKE,25-Jun-14,18-Jan-21,Not specified,8913992,YES,NO,,,,,
Australia,5103,KAYBEANNA,Australia,LFB12939,LFB12939,NONE KNOWN,Bridport,F.M.F PIRRELLO & FMC FISHERIES PTY LTD,"14 STONY HILL LANE, MILTON, NSW 2538,  Australia","Pirrelo, Frank",Australia,NONE,VJT6201,Inmarsat C: 450302656,Australia,2002,Longliner,6,Drifting longlines,22.9,Overall,Meters,2.2,Meters,6.5,Meters,80,GRT,275,KW,Blast,5,CM,1,83,CuM,Eastern Tuna and Billfish Fishery,NONE,No specific areas,All HMS except black and blue marlin,01-Mar-16,31-Dec-20,not applicable,8784884,no,NO,,,,,
